Category,Subcategory,Item,Link_0,Link_1,Link_2,Link_3,Link_4
01.1 Food,01.1.1 Bread and Cereals,Large white loaves - sliced and unsliced,https://www.tesco.com/groceries/en-GB/products/305946059,https://www.tesco.com/groceries/en-GB/products/255727936,https://www.tesco.com/groceries/en-GB/products/254942354,https://www.tesco.com/groceries/en-GB/products/254942331,https://www.tesco.com/groceries/en-GB/products/258081588
01.1 Food,01.1.1 Bread and Cereals,Bread rolls,https://www.tesco.com/groceries/en-GB/products/255810019,https://www.tesco.com/groceries/en-GB/products/250915629,https://www.tesco.com/groceries/en-GB/products/299999490,https://www.tesco.com/groceries/en-GB/products/252193004,https://www.tesco.com/groceries/en-GB/products/305247345
01.1 Food,01.1.1 Bread and Cereals,Flour,https://www.tesco.com/groceries/en-GB/products/255076035,https://www.tesco.com/groceries/en-GB/products/254917828,https://www.tesco.com/groceries/en-GB/products/255075791,https://www.tesco.com/groceries/en-GB/products/271657355,https://www.tesco.com/groceries/en-GB/products/256783233
01.1 Food,01.1.1 Bread and Cereals,Rice,https://www.tesco.com/groceries/en-GB/products/262311847,https://www.tesco.com/groceries/en-GB/products/262313373,https://www.tesco.com/groceries/en-GB/products/254877356,https://www.tesco.com/groceries/en-GB/products/293247162,https://www.tesco.com/groceries/en-GB/products/254877477
01.1 Food,01.1.1 Bread and Cereals,Pasta,https://www.tesco.com/groceries/en-GB/products/258306226,https://www.tesco.com/groceries/en-GB/products/301323859,https://www.tesco.com/groceries/en-GB/products/254878499,https://www.tesco.com/groceries/en-GB/products/254878545,https://www.tesco.com/groceries/en-GB/products/297844111
01.1 Food,01.1.1 Bread and Cereals,Breakfast cereals,https://www.tesco.com/groceries/en-GB/products/268146394,https://www.tesco.com/groceries/en-GB/products/303300873,https://www.tesco.com/groceries/en-GB/products/252738421,https://www.tesco.com/groceries/en-GB/products/289347936,https://www.tesco.com/groceries/en-GB/products/255731815
